ID,Height (Inch),Weight (Pound)
0,73.847017017515,241.893563180437
1,70,
2,74.11010539178491,212.7408555565
3,71.7309784033377,220.042470303077
4,69.8817958611153,206.349800623871
5,67.2530156878065,152.212155757083
6,68.78508125166161,183.92788860403098
7,68.34851551158789,167.971110489509
8,67.01894966288299,175.92944039571
9,63.456493978366396,156.399676387112
10,71.1953822829745,186.604925560358
11,62.6366749337994,102.85356321483
12,62.0778316936514,138.69168027573798
13,60.0304337715611,97.6874322554917
14,59.0982500313486,110.529685683049
15,66.17265214777079,136.777454183235
16,67.067154649054,170.86790589071302
17,63.8679922137577,128.475318784122
18,69.03424313073461,163.852461346571
19,61.944245879517204,113.64910267531201
21,0.0,0.0